time,DASH,NKN,ANKR,KNC,ADA,MANA,SKL,MATIC,XLM,UNI,LRC,CVC,DAI,ETC,XTZ,GRT,ALGO,BCH
04:09 17-04-2021,64.35,39.12,56.54,48.39,56.28,24.01,37.92,90.98,32.04,143.45,108.83,128.03,0.01,238.83,55.33,31.84,147.74,66.14
04:21 17-04-2021,63.31,39.12,60.07,48.22,56.28,24.01,38.54,90.98,32.04,143.73,108.83,128.03,0.01,245.75,55.16,31.65,147.74,65.67
04:35 17-04-2021,63.02,38.55,60.07,48.06,56.74,24.46,38.54,90.98,32.04,142.9,108.83,128.03,0.01,252.54,54.63,31.28,146.64,65.17
04:57 17-04-2021,62.66,38.55,60.07,48.06,56.74,24.46,37.92,90.98,32.04,143.54,110.81,128.03,0.01,251.66,54.72,31.47,147.74,67.03
05:21 17-04-2021,62.19,38.55,60.07,47.9,56.28,24.68,38.54,90.98,32.66,142.12,110.81,128.03,0.01,249.65,54.63,31.28,146.64,67.8
05:40 17-04-2021,63.22,39.12,60.07,48.06,56.28,24.46,38.54,90.98,32.66,141.8,110.81,125.74,0.01,253.67,54.63,31.28,145.53,67.95
05:53 17-04-2021,63.99,39.12,60.07,48.22,56.28,24.23,39.16,90.98,32.66,142.49,110.81,125.74,0.01,252.29,54.45,31.28,145.53,67.02
06:10 17-04-2021,63.49,39.12,56.54,47.9,56.28,24.23,39.78,90.98,32.66,141.8,110.81,125.74,0.01,243.55,54.1,31.28,146.64,66.84
06:27 17-04-2021,64.99,39.7,56.54,48.06,56.28,24.23,39.78,90.98,32.66,142.17,110.81,128.03,0.01,241.73,54.98,31.28,146.64,70.42
06:43 17-04-2021,65.33,39.12,60.07,48.88,56.74,24.46,39.78,90.98,32.66,141.85,110.81,128.03,0.01,241.35,55.33,31.65,146.64,69.17
06:54 17-04-2021,66.71,39.12,60.07,48.55,56.28,24.46,39.16,90.98,32.66,142.12,108.83,128.03,0.01,243.8,55.25,31.65,146.64,69.67
07:03 17-04-2021,66.88,39.12,60.07,48.71,56.28,24.23,39.78,90.98,32.66,142.44,110.81,128.03,0.01,246.88,55.33,31.84,148.84,70.75
07:21 17-04-2021,65.73,39.12,56.54,48.71,56.28,24.23,39.78,90.98,33.27,140.34,110.81,128.03,0.01,241.35,55.78,31.47,149.94,69.96
07:28 17-04-2021,65.24,39.12,56.54,48.71,56.28,24.23,39.16,90.98,32.66,140.29,110.81,125.74,0.01,238.71,55.95,31.47,148.84,68.35
07:44 17-04-2021,65.68,39.12,56.54,48.39,56.28,24.46,39.16,90.98,32.66,141.07,110.81,125.74,0.01,240.22,56.13,31.65,149.94,69.12
07:51 17-04-2021,65.11,39.12,60.07,48.39,56.28,24.23,39.16,90.98,33.27,140.75,110.81,125.74,0.01,237.77,56.48,31.65,148.84,69.29
08:10 17-04-2021,64.6,40.27,60.07,48.55,56.28,24.68,39.16,90.98,32.66,141.11,110.81,125.74,0.01,236.44,56.13,32.02,147.74,68.96
11:54 17-04-2021,63.19,38.55,56.54,47.9,55.81,26.25,39.16,88.45,32.04,139.01,108.83,125.74,0.01,228.02,54.63,31.65,144.43,86.79

12:09 17-04-2021,60.82,37.97,56.54,46.92,54.42,25.36,37.92,88.45,31.43,138.18,104.87,123.45,0.01,218.53,54.1,31.1,142.25,86.0
14:11 17-04-2021,62.0,38.55,56.54,47.57,55.35,29.4,39.78,88.45,32.04,138.78,118.72,123.45,0.01,231.79,54.45,31.28,147.76,85.43
16:30 17-04-2021,61.02,37.39,53.0,46.43,54.42,29.4,40.4,88.45,30.81,135.25,116.75,128.03,0.01,209.85,53.4,30.73,157.69,81.23
18:20 17-04-2021,61.28,37.39,56.54,46.75,54.88,27.6,40.4,85.92,31.43,136.49,120.7,128.03,0.01,225.07,53.57,30.73,161.0,80.19
20:12 17-04-2021,61.12,37.39,56.54,47.41,54.88,27.6,41.65,85.92,31.43,137.04,120.7,128.03,0.01,237.45,53.57,30.92,163.2,80.95
22:14 17-04-2021,61.24,38.55,56.54,47.08,55.35,28.72,42.27,88.45,31.43,137.13,124.66,125.74,0.01,224.75,54.1,31.1,159.89,81.97
00:40 18-04-2021,57.09,37.39,56.54,45.44,54.42,26.7,39.78,83.4,30.81,132.09,120.7,121.17,0.01,213.75,51.9,29.63,154.38,75.65
02:37 18-04-2021,55.9,35.67,53.0,45.12,53.49,26.25,38.54,83.4,30.19,131.17,116.75,118.88,0.01,202.87,50.66,29.26,151.07,76.21
04:16 18-04-2021,55.24,31.07,49.47,40.87,52.09,24.91,32.32,80.87,27.11,119.53,102.89,128.03,0.01,201.43,47.32,27.79,142.25,73.84
06:14 18-04-2021,51.37,32.22,53.0,40.21,51.16,24.91,33.57,75.82,27.73,118.99,100.92,107.45,0.01,212.68,46.7,27.6,137.84,74.69
08:23 18-04-2021,50.25,32.22,49.47,40.7,50.23,24.46,33.57,78.34,27.73,120.5,98.94,107.45,0.01,204.76,46.17,26.87,137.84,72.15
10:22 18-04-2021,47.54,30.49,45.94,39.72,47.91,23.56,31.08,73.29,26.5,116.19,94.98,102.88,0.01,193.63,44.14,25.76,132.32,70.83
12:17 18-04-2021,46.29,29.34,45.94,37.76,45.12,22.22,29.84,68.23,25.26,113.3,91.02,100.59,0.01,181.18,41.32,25.03,123.5,66.48
14:11 18-04-2021,48.49,30.49,49.47,38.74,47.91,24.01,31.08,75.82,26.5,115.87,94.98,105.16,0.01,202.18,43.97,25.95,135.65,73.08
16:20 18-04-2021,51.47,31.64,49.47,40.38,49.77,24.68,32.95,75.82,27.73,120.13,98.94,107.45,0.01,221.17,46.26,26.87,137.86,72.53
18:20 18-04-2021,49.43,31.07,49.47,39.56,48.37,23.79,32.32,73.29,27.11,118.89,96.96,105.16,0.01,206.27,44.67,25.95,134.55,69.92
20:12 18-04-2021,50.53,31.07,49.47,40.38,49.3,24.23,32.95,75.82,27.73,122.83,98.94,107.45,0.01,215.2,45.38,26.5,136.76,71.87
22:14 18-04-2021,50.78,31.64,49.47,40.54,50.7,25.13,34.81,75.82,28.35,124.71,102.89,109.74,0.01,209.29,46.61,26.68,136.76,73.33
00:40 19-04-2021,51.31,31.64,49.47,41.19,50.7,25.13,34.19,78.34,28.35,121.87,104.87,107.45,0.01,204.89,46.17,26.5,136.76,74.93
02:37 19-04-2021,52.84,32.22,49.47,41.69,51.16,26.03,34.19,78.34,28.35,123.02,102.89,109.74,0.01,206.71,47.14,26.68,138.96,78.67
04:17 19-04-2021,52.84,33.37,49.47,41.85,51.63,26.03,34.19,80.87,28.96,125.4,104.87,109.74,0.01,209.22,47.23,27.05,140.07,78.07
06:15 19-04-2021,52.62,32.79,49.47,42.18,51.16,25.36,33.57,80.87,28.96,122.33,102.89,114.31,0.01,204.26,46.96,27.05,137.86,76.74
08:14 19-04-2021,51.42,32.79,49.47,42.5,50.7,24.68,33.57,80.87,28.35,123.52,100.92,114.31,0.01,196.84,46.7,27.23,138.96,75.92
10:13 19-04-2021,49.03,31.07,45.94,40.21,48.37,23.56,31.7,75.82,27.11,119.76,94.98,107.45,0.01,199.86,44.59,25.95,133.45,71.46
12:18 19-04-2021,49.85,31.64,49.47,40.87,49.77,24.46,32.95,75.82,27.73,121.32,96.96,105.16,0.01,202.24,45.2,26.31,136.76,74.15
14:13 19-04-2021,48.55,30.49,45.94,40.21,48.37,23.56,32.32,73.29,26.5,118.62,94.98,102.88,0.01,194.51,44.06,25.21,131.26,71.2
16:21 19-04-2021,47.63,28.77,45.94,38.09,47.44,22.89,30.46,70.76,26.5,117.15,91.02,98.31,0.01,186.47,42.91,24.47,126.85,70.18
18:22 19-04-2021,48.52,29.34,45.94,38.25,48.37,23.56,31.08,70.76,26.5,120.68,93.0,100.59,0.01,186.47,41.41,25.03,127.95,71.17
20:13 19-04-2021,49.66,29.34,45.94,38.58,47.91,23.56,30.46,70.76,26.5,123.15,93.0,100.59,0.01,189.42,41.94,25.39,124.65,70.81
22:14 19-04-2021,49.97,28.77,45.94,38.42,47.91,26.25,29.84,70.76,26.5,123.34,93.0,100.59,0.01,188.04,41.85,24.84,123.54,70.16
00:40 20-04-2021,45.68,25.31,42.4,34.66,44.19,21.77,26.73,63.18,24.65,115.09,87.06,93.73,0.01,164.08,38.24,23.0,108.1,64.44
02:40 20-04-2021,45.77,25.89,42.4,34.66,44.19,22.89,27.97,65.71,24.65,114.36,87.06,93.73,0.01,164.02,37.62,22.82,112.51,64.94
04:16 20-04-2021,47.31,27.04,42.4,35.31,45.58,24.01,28.59,65.71,25.26,113.9,87.06,96.02,0.01,173.58,38.33,23.0,115.82,67.45
06:16 20-04-2021,47.91,26.46,42.4,35.31,45.58,23.34,27.97,65.71,24.65,112.98,89.04,93.73,0.01,166.79,38.68,23.19,114.72,67.0
08:15 20-04-2021,48.77,25.89,42.4,35.31,45.58,23.34,27.35,65.71,24.65,112.66,89.04,93.73,0.01,170.75,38.86,23.0,115.82,68.76
10:13 20-04-2021,48.7,26.46,42.4,36.29,46.05,24.23,27.97,68.23,25.26,114.22,91.02,107.45,0.01,175.21,39.74,23.55,119.13,72.89
12:18 20-04-2021,49.46,28.19,42.4,37.6,46.51,24.46,29.22,70.76,25.88,115.92,91.02,114.31,0.01,177.92,40.71,24.29,122.44,72.13
14:13 20-04-2021,51.67,28.77,45.94,41.03,47.91,25.58,29.22,73.29,26.5,118.3,93.0,109.74,0.01,184.45,41.77,24.84,124.67,72.88
16:21 20-04-2021,52.22,27.61,42.4,39.89,46.51,26.48,29.22,70.76,25.88,115.64,91.02,107.45,0.01,180.68,40.71,23.92,121.36,72.55
18:23 20-04-2021,52.41,28.19,45.94,40.38,47.44,27.6,29.84,73.29,26.5,118.66,93.0,107.45,0.01,180.24,41.24,24.84,123.56,72.14
20:13 20-04-2021,53.28,28.19,45.94,41.03,48.84,26.48,29.84,73.29,27.11,121.55,94.98,109.74,0.01,184.64,41.59,25.03,123.56,73.21
22:15 20-04-2021,52.47,27.61,45.94,41.52,49.77,26.7,29.84,73.29,26.5,120.77,94.98,109.74,0.01,179.49,41.5,24.29,121.36,72.69
00:39 21-04-2021,52.51,29.34,45.94,40.38,49.3,26.48,29.84,73.29,27.11,122.01,93.0,107.45,0.01,180.3,41.94,24.29,119.15,75.06
02:36 21-04-2021,52.43,33.94,45.94,41.36,49.77,27.15,30.46,73.29,27.11,124.99,94.98,109.74,0.01,180.37,42.21,24.29,120.25,75.68
04:17 21-04-2021,51.8,32.22,45.94,41.69,48.84,26.7,29.84,70.76,26.5,120.77,93.0,107.45,0.01,178.42,40.8,23.92,116.94,72.84
06:15 21-04-2021,52.75,36.24,45.94,42.01,49.3,26.48,29.84,70.76,26.5,121.83,94.98,107.45,0.01,179.3,41.85,24.29,118.05,73.35
08:15 21-04-2021,52.35,34.52,45.94,43.48,49.3,25.81,30.46,70.76,25.88,120.68,93.0,107.45,0.01,174.58,41.15,24.29,116.94,71.83
10:13 21-04-2021,51.66,35.09,45.94,44.14,49.3,25.58,30.46,73.29,25.88,123.02,94.98,107.45,0.01,173.58,41.15,24.29,115.84,71.43
